ticker,exchange,icb_code,icb_name,effective_from,effective_to,is_current,issuer_id,state_owner_pct,foreign_room_pct
IPA,HNX,2791,Tư vấn & Hỗ trợ KD,2020-01-01,,True,,,
ITQ,HNX,1757,Thép và sản phẩm thép,2020-01-01,,True,,,
IVS,HNX,8777,Môi giới chứng khoán,2020-01-01,,True,,,
KDM,HNX,2357,Xây dựng,2020-01-01,,True,,,
KHS,HNX,3573,Nuôi trồng nông & hải sản,2020-01-01,,True,,,
KKC,HNX,1757,Thép và sản phẩm thép,2020-01-01,,True,,,
KMT,HNX,1757,Thép và sản phẩm thép,2020-01-01,,True,,,
KSD,HNX,3722,Đồ gia dụng lâu bền,2020-01-01,,True,,,
KSF,HNX,8633,Bất động sản,2020-01-01,,True,,,
KST,HNX,9578,Thiết bị viễn thông,2020-01-01,,True,,,
KSV,HNX,1775,Khai khoáng,2020-01-01,,True,,,
KTS,HNX,3577,Thực phẩm,2020-01-01,,True,,,
L14,HNX,2357,Xây dựng,2020-01-01,,True,,,
L18,HNX,2357,Xây dựng,2020-01-01,,True,,,
L40,HNX,2357,Xây dựng,2020-01-01,,True,,,
LAS,HNX,1357,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2020-01-01,,True,,,
LBE,HNX,3767,Hàng cá nhân,2020-01-01,,True,,,
LCD,HNX,2357,Xây dựng,2020-01-01,,True,,,
LDP,HNX,4577,Dược phẩm,2020-01-01,,True,,,
LHC,HNX,2357,Xây dựng,2020-01-01,,True,,,
LIG,HNX,2357,Xây dựng,2020-01-01,,True,,,
MAC,HNX,2753,Xe tải & Đóng tàu,2020-01-01,,True,,,
MAS,HNX,5759,Vận tải hành khách & Du lịch,2020-01-01,,True,,,
MBG,HNX,2353,Vật liệu xây dựng & Nội thất,2020-01-01,,True,,,
MBS,HNX,8777,Môi giới chứng khoán,2020-01-01,,True,,,
MCC,HNX,2353,Vật liệu xây dựng & Nội thất,2020-01-01,,True,,,
MCF,HNX,3577,Thực phẩm,2020-01-01,,True,,,
MCO,HNX,2357,Xây dựng,2020-01-01,,True,,,
MDC,HNX,1771,Khai thác Than,2020-01-01,,True,,,
MED,HNX,4577,Dược phẩm,2020-01-01,,True,,,
MEL,HNX,1757,Thép và sản phẩm thép,2020-01-01,,True,,,
